alcohol	chlorides	citric acid	density	fixed acidity	free sulfur dioxide	pH	quality	residual sugar	sulphates	total sulfur dioxide	type	volatile acidity
9.4	0.087	0.04	0.99565	7	12	3.35	4	2	0.6	67	0	0.975
10.1	0.104	0.51	0.9996	11.5	4	3.28	6	4	0.97	23	0	0.18
10.1	0.104	0.51	0.9996	11.5	4	3.28	6	4	0.97	23	0	0.18
10.1	0.104	0.51	0.9996	11.5	4	3.28	6	4	0.97	23	0	0.18
9.9	0.358	0.68	0.9972	7.7	5	3.25	7	3.5	1.08	10	0	0.27
9.8	0.102	0.07	1.00015	9.9	32	3.31	5	3.4	0.71	71	0	0.59
10.6	0.091	0.09	0.9976	8.7	20	3.34	7	2.5	0.86	49	0	0.52
10.6	0.091	0.09	0.9976	8.7	20	3.34	7	2.5	0.86	49	0	0.52
9.5	0.186	0.12	0.996	7.4	5	3.39	5	1.6	0.54	21	0	0.67
9.2	0.112	0.6	0.9973	8.4	12	3.2	5	2.1	0.52	90	0	0.65
9.5	0.213	0.42	0.9994	10.3	6	3.19	6	2.4	0.62	14	0	0.41
9.3	0.063	0.48	0.9998	10.3	6	3.12	6	2.5	0.59	25	0	0.53
9.4	0.076	0.3	0.9976	8.6	30	3.3	5	3	0.53	135	0	0.47
11	0.087	0.29	0.99645	7.4	26	3.39	5	2.6	0.68	72	0	0.36
11	0.096	0.29	0.9962	7.1	20	3.42	6	2.5	0.65	53	0	0.35
11.5	0.121	0.66	0.9978	11.6	6	3.05	7	3.65	0.74	14	0	0.53
9.5	0.061	0.39	0.9981	10.7	7	3.18	5	2	0.62	15	0	0.46
11	0.105	0.08	0.9958	8.4	16	3.13	5	2.1	0.52	44	0	0.56
12.2	0.128	0.53	0.9992	11.9	7	3.17	7	3.4	0.84	21	0	0.695
10.3	0.08	0.32	0.9974	7.8	29	3.31	5	2.8	0.64	58	0	0.43
9.8	0.082	0.54	0.9997	12.5	12	3.11	7	2.3	1.36	29	0	0.28
9.9	0.067	0	0.9979	7	40	3.6	5	1.9	0.81	63	0	0.685
9.9	0.107	0.22	1.0004	10.7	17	3.28	6	2.7	0.98	34	0	0.67
9.3	0.09	0	0.9974	7.7	8	3.27	5	2.4	0.73	19	0	0.665
12.8	0.078	0.01	0.9955	6.7	17	3.55	6	2.4	0.61	32	0	0.75
9.9	0.086	0.31	0.9982	8.6	21	3.37	6	2.6	0.91	50	0	0.45
10.2	0.071	0.63	0.9988	12.5	6	2.99	5	2	0.87	15	0	0.46
12	0.074	0.53	0.9962	9.4	6	3.2	7	2.4	1.13	18	0	0.27
9.9	0.063	0.02	0.9975	6.9	35	3.57	5	2.3	0.78	63	0	0.765
10.8	0.094	0.38	0.9979	8.3	24	3.31	6	2.5	0.7	60	0	0.42
9.4	0.08	0.42	0.9974	8.3	11	3.21	6	2	0.8	27	0	0.26
12.9	0.045	0.05	0.9924	5.6	12	3.56	8	1.4	0.82	88	0	0.85
9.9	0.122	0.02	0.9994	6.6	68	3.47	5	7.9	0.53	124	0	0.735
10.8	0.093	0.66	0.9996	12	12	3.18	7	3	0.63	30	0	0.39
9.5	0.08	0.35	0.9987	9.1	23	3.38	5	2.4	0.62	78	0	0.45
11.7	0.097	0.53	0.9986	9.9	6	3.27	7	6.7	0.82	19	0	0.4
10.5	0.091	0.12	0.9956	7	34	3.44	5	1.9	0.48	124	0	0.58
9.9	0.066	0	0.9976	6.8	34	3.62	5	1.8	0.68	52	0	0.77
10.9	0.047	0.2	0.9955	7.7	15	3.36	5	2	0.44	60	0	0.96
12.3	0.059	0.03	0.9952	6.6	32	3.52	7	2.3	0.56	48	0	0.84
10.4	0.088	0.63	0.9997	12.8	13	3.1	6	2.4	0.6	35	0	0.84
11	0.066	0.47	0.9978	10.5	6	3.15	7	2.1	0.9	24	0	0.24
9.5	0.091	0.63	1.0004	12.3	6	3.16	5	2.3	0.49	18	0	0.39
11.2	0.066	0.73	0.9986	11.1	6	3.17	6	3.2	0.66	22	0	0.45
9.9	0.076	0.55	0.9996	10.4	22	3.15	6	3.2	0.89	54	0	0.41
9.3	0.062	0.18	0.9951	7	7	3.08	5	1.5	0.6	50	0	0.62
9.8	0.072	0.72	0.9987	12.6	6	2.88	8	2.2	0.82	29	0	0.31
12.5	0.054	0.01	0.9934	5.3	5	3.57	7	1.7	0.84	27	0	0.57
9.1	0.413	0.53	0.9979	8.4	9	3.06	6	1.8	1.06	26	0	0.37
10	0.084	0.03	0.9968	6.8	18	3.44	6	1.7	0.63	35	0	0.56
13.4	0.086	0.67	0.9988	11.3	6	3.22	8	5.2	0.69	19	0	0.62
9.6	0.097	0.21	0.9988	9.2	29	3.28	5	2.7	0.58	65	0	0.63
11.8	0.085	0.68	0.997	11	10	3.18	5	2.55	0.61	25	0	0.26
9.2	0.084	0.54	0.9987	11.5	5	2.98	6	2.1	0.7	15	0	0.315
11	0.075	0.49	0.9977	10.4	6	3.18	6	1.8	1.06	20	0	0.24
10.8	0.081	0.55	1.0002	11.6	35	3.32	7	2.8	0.92	67	0	0.32
10.2	0.073	0.4	0.9984	9.3	10	3.34	6	2.6	0.75	26	0	0.39
13.4	0.052	0.51	0.995	8.9	13	3.32	7	2.6	0.9	27	0	0.4
11	0.07	0.53	0.9972	10.7	5	3.15	8	2.6	0.65	16	0	0.35
11	0.07	0.53	0.9972	10.7	5	3.15	8	2.6	0.65	16	0	0.35
11.6	0.086	0.31	1.0002	8.7	23	3.48	6	3	0.74	81	0	0.69
10.9	0.078	0.47	0.9976	10.5	6	3.18	7	1.9	1.04	24	0	0.26
9.3	0.122	0.49	1.001	8.5	34	3.31	5	6.1	1.14	151	0	0.655
8.4	0.2	0.49	0.9994	10.4	5	3.16	3	2.1	0.63	16	0	0.61
11	0.088	0.49	0.9966	7.3	39	3.36	5	2.5	0.78	106	0	0.365
9.5	0.086	0.49	0.9976	9.2	23	3.23	5	2.4	0.64	116	0	0.43
11.4	0.097	0.49	0.9962	7	33	3.39	6	2.5	0.77	85	0	0.38
8.7	0.084	0.49	0.9988	8.2	32	3.34	6	2.6	0.75	55	0	0.42
10.7	0.084	0.24	0.9972	8.1	5	3.37	6	2.1	0.77	13	0	0.825
9.6	0.101	0.24	0.9988	9.2	20	3.26	5	3.3	0.67	47	0	0.59
9.9	0.07	0.24	0.9966	9.3	5	3.12	5	2.1	0.59	20	0	0.715
9.4	0.171	0.49	0.9975	9	6	3.27	6	1.9	0.61	25	0	0.53
9.5	0.074	0.01	0.9958	6.8	9	3.33	6	2.1	0.56	25	0	0.51
11.1	0.095	0.49	1.00315	15.5	10	2.92	5	4.2	0.74	23	0	0.645
12.7	0.085	0.49	1.0021	13	6	3.3	6	4.3	0.68	47	0	0.47
11.4	0.075	0.49	0.9994	12.7	5	3.14	5	2.8	0.57	19	0	0.6
11.4	0.075	0.49	0.9994	12.7	5	3.14	5	2.8	0.57	19	0	0.6
11.7	0.095	0.24	0.9946	6.2	19	3.57	6	2.2	0.57	42	0	0.36
11.7	0.095	0.24	0.9946	6.2	19	3.57	6	2.2	0.57	42	0	0.36
10.2	0.079	0.49	0.9993	12.3	28	3.2	6	3.1	0.8	46	0	0.27
9.3	0.082	0.45	1	12.7	11	3	6	2.3	0.7	22	0	0.59
9	0.071	0.52	1.0006	13.2	12	3.1	6	2.2	0.56	35	0	0.46
10.4	0.11	0.37	1.0026	10.1	11	3.32	6	5.1	0.64	65	0	0.65
12.7	0.075	0.19	0.9956	6.3	15	3.56	6	3.2	0.52	39	0	0.36
9.4	0.081	0.55	1.0006	13.2	5	2.98	5	2.7	0.54	16	0	0.38
9.7	0.079	0.5	0.9997	9.6	28	3.5	5	2.3	0.57	71	0	0.6
9.5	0.08	0.22	0.9974	10	9	3.13	5	1.9	0.55	32	0	0.58
9.3	0.111	0.23	0.9964	7.6	20	3.21	5	2.3	0.61	84	0	0.685
9.3	0.097	0.26	0.9976	8.7	7	3.27	6	2.5	0.6	31	0	0.54
9.5	0.105	0.54	0.9988	10.4	5	3.25	5	2.7	0.63	19	0	0.28
9.7	0.065	0	0.9954	8.7	24	3.27	5	1.4	0.55	33	0	0.84
10.3	0.067	0.35	0.997	8.9	25	3.18	6	1.9	1.36	57	0	0.29
11.3	0.068	0.27	0.9948	6.7	24	3.16	6	8.6	0.57	148	0	0.42
14.9	0.096	0.65	0.9976	15.9	22	2.98	5	7.5	0.84	71	0	0.36
10.5	0.073	0.59	0.998	12	23	2.92	7	1.4	0.68	42	0	0.5
9	0.08	0.31	0.9978	7.5	15	3.31	5	1.6	0.64	42	0	0.42
10.2	0.092	0.52	1	12.1	15	3.03	5	2	0.66	54	0	0.4
9.7	0.084	0.14	0.9981	9.4	25	3.14	5	2	0.56	48	0	0.59
9.2	0.082	0.45	0.9988	11.3	6	2.94	6	2	0.66	15	0	0.34
9.2	0.082	0.45	0.9988	11.3	6	2.94	6	2	0.66	15	0	0.34
9.5	0.074	0.21	0.9968	8.2	5	3.2	5	1.7	0.52	13	0	0.73
9.9	0.084	0.11	0.9979	8.6	12	3.4	5	2.3	0.48	31	0	0.8
10	0.081	0.1	0.9983	8.3	45	3.48	5	2.6	0.53	87	0	0.78
9	0.07	0.58	1.0004	13.3	15	3.06	5	1.9	0.49	40	0	0.43
9.4	0.078	0.32	0.998	9.8	35	3.25	5	2.3	0.48	152	0	0.98
9.7	0.087	0.28	1.0001	9.4	18	3.31	5	3.2	0.53	72	0	0.615
9.6	0.073	0.48	0.9972	7.5	22	3.32	4	2.6	0.7	84	0	0.38
9.2	0.069	0.18	0.9967	7.2	13	3.29	6	2.7	0.48	34	0	0.49
9.6	0.082	0.04	0.9976	8.4	10	3.22	5	2	0.44	22	0	0.56
9.5	0.086	0	0.9976	7.1	17	3.46	5	3.9	0.54	45	0	0.66
10	0.084	0.08	0.9968	7.6	15	3.21	5	2.7	0.59	48	0	0.42
10.4	0.077	0.17	0.9976	9	5	3.29	5	3	0.55	13	0	0.66
11.5	0.088	0.13	0.9994	8.9	4	3.44	5	3.45	0.52	14	0	0.875
9.5	0.112	0.1	0.9963	7.7	11	3.26	5	2.1	0.5	22	0	0.965
9.2	0.092	0.23	0.9983	9	28	3.1	5	2.8	0.56	104	0	0.46
9.3	0.088	0	0.999	9	19	3.35	5	2.4	0.6	38	0	0.69
9.4	0.097	0.13	0.99785	7.6	24	3.39	5	2.5	0.61	66	0	0.54
9.7	0.075	0.25	0.99779	9	9	3.23	5	2.8	0.57	104	0	0.58
9.6	0.096	0.26	0.99738	9.3	5	3.25	5	2	0.42	35	0	0.655
9.5	0.091	0.1	0.99888	9.2	12	3.31	6	3	0.54	48	0	0.67
9.4	0.089	0.18	0.99738	8.8	12	3.14	5	2.9	0.54	74	0	0.59
9.4	0.082	0.27	0.99782	9.5	23	3.27	5	2.3	0.55	144	0	0.57
10	0.102	0	0.99586	7.2	7	3.43	5	3	0.46	16	0	1
10.3	0.243	0.18	0.99612	6.9	5.5	3.4	6	2.4	0.6	48	0	0.765
9.8	0.114	0.14	0.99732	6.5	9	3.66	5	2.4	0.65	37	0	0.46
9.5	0.083	0.41	0.9982	9.9	11	3.21	5	2.3	0.5	61	0	0.35
10.2	0.132	0.3	0.99786	10.8	7	2.99	5	2.6	1.18	60	0	0.89
9.2	0.165	0.12	0.99702	7.4	4	3.26	5	1.9	0.86	12	0	0.53
11.3	0.103	0.54	0.99939	12.6	19	3.21	6	2.8	0.76	41	0	0.41
9.7	0.099	0	0.99606	7	9	3.34	5	1.9	0.6	22	0	0.685
14	0.048	0	0.99154	4.9	16	3.71	7	2.1	0.74	42	0	0.42
10.7	0.076	0.14	0.99624	7.1	15	3.36	5	2.8	0.49	37	0	0.46
11.1	0.071	0.08	0.99376	5.9	16	3.56	6	2.1	0.77	24	0	0.61
9.8	0.081	0.21	0.99689	6.4	14	3.59	5	1.8	0.66	31	0	0.64
9.9	0.078	0.16	0.9977	7.4	12	3.5	6	1.8	0.7	39	0	0.68
9.8	0.08	0.21	0.99689	6.4	12	3.58	5	1.6	0.66	32	0	0.63
10.9	0.08	0.39	0.99652	9.3	41	3.47	6	1.5	0.73	55	0	0.36
10.6	0.054	0.47	0.99686	11.7	17	3.15	7	1.7	0.67	32	0	0.28
11.5	0.039	0.66	0.99357	5.8	15	3.66	6	2	0.6	88	0	1.01
11.8	0.109	0.4	0.99614	8.8	7	3.31	7	2.8	0.79	16	0	0.31
9.5	0.076	0.04	0.99745	7.2	18	3.53	5	2.5	0.55	88	0	0.6
9.5	0.076	0.04	0.99745	7.2	18	3.53	5	2.5	0.55	88	0	0.6
10	0.094	0.19	0.99787	8.8	30	3.22	6	4	0.5	69	0	0.61
10.5	0.086	0.14	0.99824	8.9	9	3.34	5	2.5	0.64	30	0	0.75
10.1	0.071	0.24	0.99576	7.2	30	3.44	5	2	0.58	52	0	0.34
9.7	0.078	0.03	0.99743	7.2	16	3.53	5	2.3	0.57	86	0	0.66
11	0.084	0.02	0.99892	8.3	6	3.48	3	3.4	0.49	11	0	1.02
10.8	0.08	0.1	0.99736	7.4	16	3.58	7	2.4	0.69	33	0	0.635
10.8	0.06	0.06	0.9962	6.8	11	3.41	7	6	0.59	18	0	0.59
11.5	0.079	0	0.9948	6.1	6	3.59	6	2.2	0.54	9	0	0.56
10.8	0.078	0.13	0.99528	7.4	34	3.43	6	2.4	0.59	61	0	0.52
10.9	0.114	0.46	0.99901	9.1	3	3.18	6	9	0.6	9	0	0.28
12.2	0.094	0.46	0.99639	9.4	3	3.27	7	4.6	0.64	10	0	0.395
11.9	0.079	0.4	0.99512	8.6	3	3.27	6	2.2	0.67	6	0	0.315
11	0.081	0.32	0.9964	8.4	32	3.3	6	2.2	0.72	79	0	0.36
9.2	0.093	0.19	0.99736	8.4	11	3.2	4	2.2	0.59	75	0	0.67
11.2	0.055	0.27	0.99516	8.6	14	3.18	5	2.3	0.8	28	0	0.47
12	0.063	0.38	0.99468	8.7	10	3.3	7	3.3	0.73	19	0	0.33
10.4	0.071	0.5	0.99791	12	6	3.07	4	1.4	0.6	26	0	0.63
12.9	0.068	0.38	0.99356	7.2	23	3.34	7	2.8	0.72	42	0	0.38
12.5	0.082	0.49	0.99484	9.9	9	3.19	7	5	0.52	17	0	0.27
9.5	0.115	0.02	0.99654	6.6	6	3.38	5	2.1	0.69	16	0	0.57
11.2	0.1	0.39	0.99546	8.8	20	3.15	6	2	0.69	27	0	0.27
11.1	0.058	0.27	0.99518	8.5	18	3.16	6	1.9	0.85	38	0	0.47
12.2	0.068	0.43	0.9943	9	29	3.2	6	2.4	0.6	46	0	0.4
10.2	0.079	0.09	0.99669	6.7	7	3.46	5	2.9	0.61	22	0	0.56
10	0.079	0.26	0.99712	9.5	13	3.25	5	1.9	0.62	28	0	0.86
12.9	0.07	0.32	0.99418	7.3	51	3.34	6	2.1	0.82	70	0	0.52
10.4	0.075	0.49	0.9969	12.2	3	3.13	5	1.4	0.63	6	0	0.45
11.3	0.064	0	0.99562	7.4	7	3.45	6	2	0.58	11	0	0.58
9.4	0.08	0.3	0.99693	7.1	35	3.44	5	1.6	0.5	70	0	0.36
9.4	0.082	0.28	0.99694	7.1	31	3.45	5	2	0.48	68	0	0.34
9.1	0.05	0.34	0.99554	8.9	4	3.12	6	1.4	0.48	10	0	0.84
11.5	0.062	0.3	0.99495	7.5	6	3.44	7	2.2	0.72	12	0	0.43
12.8	0.067	0.32	0.9928	6.8	4	3.36	7	1.8	0.55	8	0	0.36
11.7	0.063	0.33	0.99516	9.1	13	3.26	7	2.05	0.84	27	0	0.29
10.9	0.116	0.36	0.99722	9.6	26	3.18	5	2.8	0.68	55	0	0.5
10	0.092	0	0.99635	7.5	22	3.38	6	1.6	0.58	31	0	0.71
12.7	0.049	0.37	0.99007	8	36	2.89	6	0.9	0.44	109	0	0.18
12.7	0.049	0.37	0.99007	8	36	2.89	6	0.9	0.44	109	0	0.18
11.9	0.123	0.66	0.99642	11.3	3	3.2	6	2.4	0.53	8	0	0.36
12.6	0.066	0.32	0.99364	7.9	14	3.41	6	1.9	0.56	36	0	0.31
9.6	0.095	0	0.99854	8.1	5	3.36	5	4.1	0.53	14	0	0.82
9.7	0.077	0.18	0.99739	8.9	15	3.2	6	2.5	0.47	48	0	0.745
11.1	0.088	0.21	0.99692	8.9	21	3.33	6	2.2	0.83	39	0	0.5
10.4	0.082	0.17	0.99634	7.1	27	3.49	5	1.8	0.64	51	0	0.43
9.1	0.095	0.27	0.99747	8.2	5	3.13	6	2	0.62	77	0	0.64
12.1	0.101	0.53	0.99586	8.9	3	3.21	7	4	0.59	10	0	0.48
12.1	0.101	0.53	0.99586	8.9	3	3.21	7	4	0.59	10	0	0.48
11.8	0.075	0.65	0.99565	10.2	6	3.22	6	2.4	0.63	17	0	0.29
9.2	0.098	0.2	0.99892	7.5	30	3.2	5	8.1	0.58	92	0	0.77
11.4	0.073	0.56	0.99534	9.9	3	3.15	6	2	0.73	8	0	0.32
12	0.072	0.45	0.99617	8.7	32	3.33	6	2.4	0.77	59	0	0.42
11.2	0.057	0.42	0.994	7.9	18	3.29	6	1.6	0.69	30	0	0.19
12	0.079	0.36	0.99615	9.2	11	3.33	7	2.2	0.86	31	0	0.31
10.5	0.087	0.47	0.99772	9.4	6	3.15	5	2.5	0.5	20	0	0.4
11.2	0.078	0.09	0.99402	6.1	18	3.45	6	1.7	0.54	30	0	0.48
12	0.071	0.27	0.99388	7.4	14	3.35	6	2.1	0.63	25	0	0.49
12.8	0.048	0.28	0.99374	6.3	13	3.41	5	2.1	0.6	49	0	0.57
12.3	0.069	0.42	0.99376	8.2	9	3.21	6	1.9	0.54	17	0	0.23
10	0.07	0	0.99593	8.3	6	3.25	6	1.4	0.64	14	0	0.53
12.3	0.092	0.27	0.99471	5.4	23	3.78	7	2	0.64	55	0	0.42
12.3	0.055	0	0.9922	6.3	27	3.45	6	1.4	0.48	33	0	0.47
11.5	0.096	0	0.99557	6.5	3	3.62	4	2.2	0.62	13	0	0.58
11.3	0.055	0.35	0.99394	8.8	13	3.14	7	1.7	0.59	27	0	0.24
13.5	0.063	0.26	0.9915	5.8	3	3.39	6	1.7	0.54	11	0	0.29
10	0.095	0.33	0.9984	10	28	3.22	5	2.7	0.68	89	0	0.43
9.5	0.045	0.21	0.99341	5.9	57	3.32	5	1.7	0.44	135	0	0.19
11.2	0.089	0.07	0.99684	7.2	10	3.37	7	5.5	0.68	18	0	0.48
11.8	0.061	0.35	0.99524	8.5	6	3.3	7	1.7	0.74	15	0	0.28
11.4	0.08	0.45	0.99774	10.4	6	3.22	6	2	0.76	13	0	0.52
9.1	0.104	0.15	0.99786	7.5	29	3.14	5	3.7	0.58	94	0	0.41
9.5	0.079	0.24	0.99764	8.2	16	3.34	6	2	0.64	86	0	0.51
11	0.08	0.32	0.99624	8.2	24	3.27	6	2.5	0.85	71	0	0.38
10.4	0.076	0.43	0.99672	8.2	31	3.53	6	2.5	0.81	51	0	0.2
12.9	0.042	0.18	0.9924	5.1	16	3.46	7	2.1	0.87	101	0	0.51
10.2	0.111	0.26	0.99709	9.9	7	2.94	5	2	0.98	60	0	0.54
10.5	0.062	0.34	0.99667	9.2	5	3.2	6	1.6	0.67	12	0	0.36
9.5	0.079	0.31	0.99716	7.6	26	3.46	6	1.7	0.62	65	0	0.36
11.5	0.095	0	0.99541	6.5	48	3.61	6	2.2	0.7	59	0	0.61
12.7	0.052	0	0.99318	7.1	6	3.35	7	2.4	0.66	11	0	0.66
11.4	0.068	0.43	0.99478	9.8	5	3.19	5	1.65	0.46	11	0	0.39
10.9	0.08	0.23	0.99538	6.7	11	3.36	5	2.1	0.7	119	0	0.64
9.8	0.069	0.21	0.99458	7.7	4	3.16	6	1.5	0.54	9	0	0.57
9.5	0.076	0.23	0.99686	7.9	23	3.21	6	2.3	0.58	94	0	0.58
9.4	0.111	0.19	0.99878	9.9	33	3.14	5	5.8	0.55	76	0	0.74
11.2	0.071	0.43	0.99428	6.2	14	3.45	7	2	0.87	24	0	0.39
10.4	0.078	0.02	0.99498	6.8	8	3.35	6	2.1	0.62	15	0	0.65
11.5	0.132	0.52	0.99734	10.9	17	3.28	6	1.8	0.77	44	0	0.32
9.2	0.08	0.03	0.99592	7.5	27	3.02	5	4.1	0.47	46	0	0.58
13.6	0.044	0	0.99157	5.1	18	3.68	7	1.8	0.73	88	0	0.42
11.8	0.066	0.34	0.9947	7.7	15	3.37	6	2.7	0.78	58	0	0.18
12.8	0.059	0.01	0.99242	7.1	11	3.39	6	2.2	0.4	18	0	0.75
9.8	0.123	0	0.99627	7.1	6	3.45	5	1.8	0.58	14	0	0.72
10.9	0.079	0.06	0.99628	7.8	20	3.4	5	1.9	0.69	35	0	0.7
9.2	0.082	0.22	0.99499	7.5	43	3.1	5	1.8	0.42	60	0	0.59
11.8	0.066	0.32	0.99456	8.5	26	3.38	6	1.8	0.72	51	0	0.37
10.3	0.081	0.05	0.99564	7.2	16	3.38	6	2.3	0.6	36	0	0.57
14	0.044	0.03	0.9908	5.5	28	3.5	8	1.8	0.82	87	0	0.49
11.2	0.077	0	0.99385	5.9	25	3.5	5	1.9	0.53	44	0	0.46
9.5	0.075	0.22	0.99688	8	13	3.24	6	2.3	0.54	81	0	0.715
11.5	0.062	0.39	0.9948	9.8	3	3.14	7	1.7	0.57	9	0	0.3
10.4	0.077	0.2	0.9956	7.1	28	3.37	6	1.9	0.64	54	0	0.46
10.2	0.068	0.3	0.99914	7	20	3.3	5	4.5	1.17	110	0	0.6
10.9	0.137	0	0.99476	7.6	5	3.5	3	2.1	0.4	9	0	1.58
11.1	0.068	0.09	0.99524	6.8	15	3.41	4	3.9	0.52	29	0	0.68
10.1	0.088	0.32	0.9979	9.7	22	3.29	5	2.5	0.62	91	0	0.69
12.5	0.041	0	0.99258	5.4	16	4.01	6	1.2	0.59	46	0	0.74
9.8	0.083	0.27	0.99616	7.5	17	3.26	6	2	0.58	91	0	0.63
9.1	0.414	0.68	0.99652	9.1	18	2.9	6	1.7	1.33	64	0	0.76
11	0.06	0.39	0.99495	9.1	21	3.18	7	1.8	0.82	55	0	0.36
10.6	0.077	0.24	0.9948	6.7	18	3.39	6	1.7	0.6	34	0	0.46
9.3	0.073	0.11	0.9955	6.5	13	3.34	5	1.8	0.52	38	0	0.52
9.2	0.107	0.26	0.99668	7.8	31	3.26	5	3.8	0.46	67	0	0.87
12.6	0.069	0.02	0.99387	6.6	19	3.38	6	2.4	0.66	40	0	0.58
10.5	0.084	0.02	0.99538	7.5	13	3.36	6	1.7	0.54	31	0	0.51
9.5	0.078	0.03	0.99587	7.2	7	3.34	5	1.8	0.39	12	0	0.655
11.8	0.065	0.01	0.99332	7.2	8	3.32	6	2.3	0.51	46	0	0.62
9.8	0.08	0.27	0.99652	8	11	3.29	4	2	0.48	63	0	0.83
9.8	0.094	0.08	0.99576	7.3	10	3.24	5	1.7	0.5	45	0	0.74
9.2	0.076	0.25	0.99668	8	34	3.19	5	3.4	0.42	85	0	0.81
9.2	0.07	0.14	0.99669	6.4	27	3.32	5	3.9	0.48	73	0	0.57
10.2	0.083	0.12	0.9966	7	13	3.52	7	2.2	0.62	28	0	0.6
